trial,phase,run_id,seed,n_estimators,max_depth,min_samples_leaf,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,duration_s,cost_thb
0,search,09a4d29687cf4cc6bc498cc30c92efec,20260101,100,4,1,0.8424390505441984,0.3937865637116728,0.8518038253137591,0.4942206749154695,0.5432326630000262,0.003017959238889034
1,search,1761e943a76b40348f359d3c528f5081,20260101,100,4,5,0.84259989736441,0.3932308835337653,0.8532857870606215,0.49652572003414885,0.4730206639999892,0.0026278925777777178
2,search,9a7c0f55b3304f3f8e6da840223f6f62,20260101,100,8,1,0.8311874325017808,0.38299118861143044,0.8487605110121668,0.4705254485859324,0.5316822909999814,0.002953790505555452
3,search,8cf3176b814744ed803cf517098f2d58,20260101,100,8,5,0.8396969952282112,0.40629248644155647,0.84655741609384,0.4674569671696359,1.5720156779999996,0.008733420433333331
4,search,c760ef182e8c49a9a6715d27c2ddfd24,20260101,100,12,1,0.8268292496112868,0.3897741780060529,0.8414830202909673,0.4572392917048074,0.5407508990000167,0.003004171661111204
5,search,1e62302275714cffb59d0d9223feb7c6,20260101,100,12,5,0.8321678321678322,0.3794040041357941,0.8417344245158815,0.47110621566466454,0.48114668300001995,0.0026730371277778886
6,search,535f680b2dc346d0b26239d703079582,20260101,300,4,1,0.8403710199986213,0.39011159907004955,0.8536827410999597,0.5061650002203504,1.0484683930000074,0.005824824405555596
7,search,53aaafef7c9040d4bffebc70af8fad6b,20260101,300,4,5,0.8410910010033779,0.38866530265164034,0.8544634173773247,0.5037885198169345,1.0345792709999841,0.005747662616666579
8,search,1bf1cc855e014c748bea7b2cd0fd946b,20260101,300,8,1,0.8337763003699477,0.3875531766506627,0.8478475167216888,0.46989358427506656,1.3736515380000185,0.007631397433333436
9,search,05ac44f1d3bd46a08163db09e3a0e6b7,20260101,300,8,5,0.8376978990341531,0.39544533573917123,0.8490516106410145,0.4779626778060821,1.286371613,0.007146508961111112
10,search,5f0c031e00bb449880d6bd2cd144d56c,20260101,300,12,1,0.8264615997365176,0.38572881333681147,0.8373613141825063,0.45598425076548166,1.441679038999979,0.008009327994444327
11,search,0f860547d07741ecaea84bce5c9b588b,20260101,300,12,5,0.8353694498272811,0.3790843119011964,0.843103915951598,0.4706768015557028,1.3537287549999917,0.00752071530555551
12,seed-check,66b238ce1aa64aba9724e613ffa646d8,20260102,100,4,5,0.8399037982827687,0.39435971642878054,0.8543906424701126,0.5082324073543178,0.39778474599998503,0.0022099152555554724
13,seed-check,29c31c146feb4f1ca68eb16c1e304996,20260103,100,4,5,0.84319732841091,0.40709731371462266,0.8531997803520981,0.5076687289814052,0.41814072700000793,0.002323004038888933
